id,created_at,deleted_at,name,description,avatar,is_verified,contact,start_date
1,2024-06-03 18:37:01.370,,Yayasan Berbagi Kasih,"Tentang Yayasan Berbagi Kasih merupakan Yayasan Independen yang lahir dari inisiatif PeduliPintar untuk mengelola dan mengimplementasikan program sosial secara profesional dan transparan. Sebagai yayasan independen, Social Project tidak hanya mengimplementasikan donasi dari PeduliPintar, melainkan juga berkolaborasi dengan beragam pihak untuk menjalankan, mengimplementasikan, dan menyalurkan donasi beragam program sosial. Telah menghubungkan jutaan dampak sosial. Sampai saat ini, Yayasan Berbagi Kasih telah menjalankan ratusan program sosial dan berkolaborasi dengan ratusan mitra kolaborator. Mulai dari pemulihan bencana alam sampai bantuan kebutuhan pokok. ",https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717434715/d2cb2595f0ac5557f5c6bda8028ce4b4_jixcwa.png,1,-,-
2,2024-06-03 18:55:32.633,,Yayasan Sejahtera I,"Tentang Sejahtera merupakan Yayasan Independen yang lahir dari inisiatif PeduliPintar untuk mengelola dan mengimplementasikan program sosial secara profesional dan transparan. Sebagai yayasan independen, Social Project tidak hanya mengimplementasikan donasi dari PeduliPintar, melainkan juga berkolaborasi dengan beragam pihak untuk menjalankan, mengimplementasikan, dan menyalurkan donasi beragam program sosial. Telah menghubungkan jutaan dampak sosial. Sampai saat ini, Yayasan Berbagi Kasih telah menjalankan ratusan program sosial dan berkolaborasi dengan ratusan mitra kolaborator. Mulai dari pemulihan bencana alam sampai bantuan kebutuhan pokok. ",https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717434715/d2cb2595f0ac5557f5c6bda8028ce4b4_jixcwa.png,1,-,-
3,2024-06-05 11:53:01.370,,Yayasan Peduli Sesama,"Yayasan Peduli Sesama didirikan dengan tujuan mulia untuk membantu mereka yang membutuhkan di masyarakat. Fokus utama yayasan ini adalah memberikan bantuan kemanusiaan dalam berbagai bentuk, seperti penyediaan makanan dan pakaian untuk keluarga kurang mampu, layanan kesehatan gratis melalui klinik keliling, serta program pendidikan untuk anak-anak yang tidak mampu bersekolah. Selain itu, yayasan ini juga aktif dalam penanganan bencana, memberikan bantuan darurat dan dukungan rehabilitasi bagi korban bencana alam. Dengan semangat solidaritas dan kebersamaan, Yayasan Peduli Sesama berupaya menciptakan masyarakat yang lebih peduli dan saling mendukung.","https://res.cloudinary.com/dvrhf8d9t/image/upload/w_1000,ar_1:1,c_fill,g_auto,e_art:hokusai/v1717561280/download_14_w6zl53.jpg",1,-,-
4,2024-06-05 11:53:01.370,,Yayasan Solidaritas,"Yayasan Solidaritas didirikan dengan tujuan memperkuat ikatan sosial dan solidaritas antarwarga. Yayasan ini menjalankan berbagai program yang bertujuan untuk mendukung kelompok-kelompok yang terpinggirkan, seperti korban kekerasan dalam rumah tangga, penyandang disabilitas, dan kaum minoritas. Mereka memberikan layanan bantuan hukum, tempat penampungan sementara, dan program rehabilitasi untuk korban kekerasan. Selain itu, Yayasan Solidaritas juga aktif dalam kampanye kesetaraan gender, hak asasi manusia, dan anti-diskriminasi. Dengan upaya ini, mereka berharap dapat menciptakan masyarakat yang lebih inklusif dan adil.","https://res.cloudinary.com/dvrhf8d9t/image/upload/w_1000,ar_1:1,c_fill,g_auto,e_art:hokusai/v1717561592/5a9f6c3de0b8ad01ca8068bb32ce08df_yngnxj.jpg",1,-,-
5,2024-06-05 11:59:01.370,,Yayasan Pelita Hati,"Yayasan Pelita Hati memiliki misi untuk mendukung kesehatan emosional dan psikologis individu dalam masyarakat. Yayasan ini menyediakan layanan konseling gratis bagi mereka yang mengalami masalah kesehatan mental, seperti depresi, kecemasan, dan stres. Selain itu, mereka mengadakan berbagai workshop dan seminar tentang kesehatan mental, serta membentuk kelompok dukungan bagi orang tua, remaja, dan lansia. Yayasan ini juga aktif dalam kampanye untuk mengurangi stigma terhadap masalah kesehatan mental dan mempromosikan pentingnya kesehatan emosional dalam kehidupan sehari-hari. Melalui kegiatan ini, Yayasan Pelita Hati berusaha menciptakan lingkungan yang lebih mendukung dan memahami kebutuhan emosional setiap individu.","https://res.cloudinary.com/dvrhf8d9t/image/upload/w_1000,ar_1:1,c_fill,g_auto,e_art:hokusai/v1717561647/5518106758cab8f51b30a7c030a5e167_y76bdu.jpg",1,-,-
6,2024-06-05 12:00:01.370,2024-06-06 04:18:32.071,test123,test123,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717646200/ecvytoavl7faxhq1r152.png,1,test,-
7,2024-06-05 12:05:01.370,,Yayasan Cemerlang,"Yayasan Cemerlang berdedikasi untuk mengembangkan bakat dan potensi individu melalui pendidikan dan pelatihan. Yayasan ini memberikan beasiswa kepada siswa berprestasi dari keluarga kurang mampu, serta menyelenggarakan kursus dan pelatihan di berbagai bidang seperti seni, musik, olahraga, dan sains. Mereka juga menjalankan program mentoring yang melibatkan profesional dan pakar di berbagai bidang untuk membimbing generasi muda dalam mencapai impian mereka. Selain itu, Yayasan Cemerlang juga mengadakan berbagai kompetisi dan lomba untuk mendorong kreativitas dan inovasi di kalangan anak muda. Dengan fokus pada pengembangan potensi, yayasan ini berharap dapat mencetak generasi yang cemerlang dan berkontribusi positif bagi masyarakat.","https://res.cloudinary.com/dvrhf8d9t/image/upload/w_1000,ar_1:1,c_fill,g_auto,e_art:hokusai/v1717561975/e14a61b7551bb379ecbd2903bfd58e0b_h8zsbp.jpg",1,-,-
8,2024-06-05 12:05:01.370,,Yayasan Cendekia Muda,"Yayasan Cendekia Muda berfokus pada pendidikan dan pengembangan intelektual generasi muda. Yayasan ini menyediakan beasiswa pendidikan untuk siswa dari tingkat dasar hingga perguruan tinggi, terutama bagi mereka yang berprestasi namun memiliki keterbatasan finansial. Selain itu, mereka mengadakan bimbingan belajar gratis, seminar pendidikan, dan workshop pengembangan diri untuk meningkatkan pengetahuan dan keterampilan siswa. Yayasan ini juga menjalin kerja sama dengan berbagai lembaga pendidikan dan universitas untuk memberikan akses pendidikan yang lebih baik bagi anak-anak muda. Dengan misi untuk menciptakan generasi cendekia yang berwawasan luas, Yayasan Cendekia Muda berkomitmen untuk memajukan pendidikan di Indonesia.","https://res.cloudinary.com/dvrhf8d9t/image/upload/w_1000,ar_1:1,c_fill,g_auto,e_art:hokusai/v1717562041/3237f4e43ece2c986825cbd4954275f4_wuzlqk.jpg",1,-,-
9,2024-06-05 12:05:01.370,,Yayasan Mutiara Ilmu,"Yayasan Mutiara Ilmu bertujuan untuk menyebarkan pengetahuan dan mempromosikan pendidikan di masyarakat. Mereka membangun dan mengelola perpustakaan di berbagai daerah terpencil, memberikan akses buku dan materi pendidikan yang berkualitas bagi anak-anak dan orang dewasa. Selain itu, yayasan ini juga menjalankan program literasi, mengajarkan keterampilan membaca dan menulis kepada mereka yang buta huruf. Yayasan Mutiara Ilmu juga mendukung riset dan pengembangan ilmiah dengan memberikan dana hibah bagi peneliti muda dan memfasilitasi seminar serta konferensi ilmiah. Dengan upaya ini, mereka berharap dapat meningkatkan kualitas pendidikan dan pengetahuan di seluruh lapisan masyarakat.","https://res.cloudinary.com/dvrhf8d9t/image/upload/w_1000,ar_1:1,c_fill,g_auto,e_art:hokusai/v1717562105/a183c61a4363b52e249227691cf2ca80_uik75g.jpg",1,-,-
10,2024-06-05 12:05:01.370,,The Book Club,"The Book Club adalah komunitas yang berfokus pada promosi membaca dan literasi di kalangan masyarakat. Mereka mengadakan pertemuan rutin untuk diskusi buku, di mana anggota dapat berbagi pandangan dan analisis tentang buku-buku yang dibaca. Selain itu, The Book Club juga menyelenggarakan workshop menulis, memberikan kesempatan bagi para anggota untuk mengembangkan keterampilan menulis kreatif dan jurnalistik. Komunitas ini juga sering mengadakan acara bedah buku dan talkshow dengan penulis terkenal, serta berbagai kegiatan lain yang mempromosikan kecintaan terhadap buku dan membaca. Melalui aktivitas ini, The Book Club bertujuan untuk membangun budaya literasi yang kuat di masyarakat.","https://res.cloudinary.com/dvrhf8d9t/image/upload/w_1000,ar_1:1,c_fill,g_auto,e_art:hokusai/v1717562162/3dcb8fb4957425f955f876f3145979dd_g4q5f6.jpg",1,-,-
